id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
87,Ясли-сад № 72 г.Бреста,https://ds72brest.schools.by/,"г. Брест, ул. Сябровская, 60",52.06737,23.72718,,,,,0
88,Ясли-сад № 73 г.Бреста,https://ds73brest.schools.by/,"г. Брест, ул. Колесника, 13",52.07354,23.72673,,,,,0
89,Ясли-сад № 74 г.Бреста,https://ds74brest.schools.by/,"г. Брест, ул. Краснознаменная, 3",52.08768,23.71461,,,,,0
90,Ясли-сад № 79 г.Бреста,https://ds79brest.schools.by/,"г. Брест, ул. Березовская, 7",52.11309,23.72904,,,,,0
91,Санаторный ясли-сад № 15 для детей с туберкулезной интоксикацией г.Бреста,,"г. Брест, ул. МОПРа, 16",52.08523,23.71116,,,,,0
92,Брестский государственный колледж связи,http://bgks.by/,"г. Брест, ул. Кирова, 82",52.09078,23.70461,,,,,0
93,Брестский государственный музыкальный колледж имени Г. Ширмы,http://mus.brest.by/,"г. Брест, ул. Гоголя, 7",52.08951,23.68064,,,,,0
94,Брестский государственный профессионально-технический колледж приборостроения,http://ptkp.brest.by/,"г. Брест, ул. Я.Купалы, 6/1",52.10361,23.73429,,,,,0
95,Брестский государственный профессиональный лицей легкой промышленности,https://bgpllp.brest.by/,"г. Брест, ул. Я.Купалы, 52",52.10604,23.73323,,,,,0
96,Брестский государственный профессиональный лицей строителей,http://ptu65.brest.by/,"г. Брест, ул. Пригородная, 27",52.0989,23.65236,,,,,0
97,Брестский государственный технический университет,http://www.bstu.by/,"г. Брест, ул. Московская, 267",52.10261,23.77942,,,,,0
98,УО «Брестский государственный торгово-технологический колледж»,http://ttk.brest.by/,"г. Брест, ул. ГОБК, 78",52.09128,23.65273,,,,,0
99,УО «Брестский государственный университет имени А.С.Пушкина»,http://www.brsu.by/,"г. Брест, б-р Космонавтов, 21",52.09826,23.69417,,,,,0
100,Брестский колледж - филиал УО «Белорусский государственный университет транспорта»,http://brest.bsut.by/index1.html,"г. Брест, ул. Пушкинская, 65",52.09947,23.70168,,,,,0
101,Брестское государственное областное училище олимпийского резерва,http://bruor.by/,"г. Брест, ул. Пригородная, 25",52.09862,23.65425,,,,,0
102,Брестский областной институт развития образования,https://boiro.by/,"г. Брест, ул. Я.Купалы, 20/1",52.10612,23.73314,,,,,0
103,Брестская областная клиническая больница,https://www.hospital.brest.by/,"г. Брест, ул. Медицинская, 7",52.10663,23.81566,,,,,0
104,Брестская центральная городская больница,http://hospital.cis.by/,"г. Брест, ул. Лактионова, 11",52.09769,23.78513,,,,,0
105,Брестский областной кожно-венерологический диспансер,http://kvd.brest.by/,"г. Брест, ул. Медицинская, 11",52.10758,23.81731,,,,,0
106,Брестский областной онкологический диспансер,https://www.oncology.brest.by/,"г. Брест, ул. Медицинская, 6",52.10683,23.8128,,,,,0
107,Брестский областной противотуберкулезный диспансер,http://obltub.brest.by/,"г. Брест, ул. Медицинская, 9",52.10548,23.81818,,,,,0
108,Брестская городская больница № 1,http://bgb1.brest.by/,"г. Брест, ул. Кижеватова, 76",52.10657,23.69081,,,,,0
109,Брестская городская больница № 2,https://bgb2-brest.by/,"г. Брест, ул. Школьная, 8",52.10379,23.64411,,,,,0
110,Брестская городская больница скорой медицинской помощи,https://brest-bsmp.by/,"г. Брест, ул. Ленина, 15",52.09235,23.68557,,,,,0
111,Брестский областной родильный дом,http://bord.brest.by/,"г. Брест, ул. Кирова, 62",52.09259,23.70429,,,,,0
112,Брестская областная филармония,http://www.philart-brest.by/,"г. Брест, ул. Орджоникидзе, 14",52.09952,23.68578,,,,,0
113,Брестское отделение Белорусской железной дороги,https://brest.rw.by/,"г. Брест, пл. Привокзальная, 1",52.09943,23.67792,,,,,0
114,КУП «Брестжилстрой»,http://www.dsk-brest.by/,"г. Брест, ул. Гоздецкого, 11,капитальное строение",52.11424,23.78627,,,,,0
