СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,,,,,,,,
суд Бобруйского района и г. Бобруйска,,Галковский Василий Александрович,5 лет,15.06.2020 № 213 ,судья,,,,
,,Тарабуева Татьяна Евгеньевна,бессрочно,14.11.2017  № 406,судья,,,,
,,Литвин Андрей Евгеньевич,5 лет,22.08.2018  № 348,судья,,,,
,,Петухов Сергей Олегович,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Иванькова Галина Васильевна,5 лет,22.12.2015  №510,судья,,,,
,,Германова Анна Викторовна,5 лет,04.02.2019 № 38,судья,,,,
,,Щегельская Татьяна Михайловна,5 лет,27.02.2018 № 88,судья,,,,
,,Дудаль Антон Геннадьевич,5 лет,31.05.2019  № 209,судья,,,,
,,Сафонова Вероника Олеговна,5 лет,31.05.2019  № 209,судья,,,,
,,Ярмошевич Елена Сергеевна,5 лет,26.06.2014  № 297,судья,,,,
,,Шелягина Марина Витальевна,5 лет,31.05.2019  № 209,судья,,,,
,,Серякова Ольга Семеновна,5 лет,31.05.2019  № 209,судья,,,,
,,Манкевич Елена Евгеньевна,5 лет,25.05.2017 №185,судья и заместитель председателя суда,,,,
,,Круголь Инна Андреевна,5 лет,21.04.2016  № 153,судья,,,,
,,Булацкая Алеся Александровна,5 лет,26.06.2014  № 297,судья,,,,
,,Красутский Артур Анатольевич,бессрочно,26.06.2014  № 297,судья и заместитель председателя суда,,,,
,,Некрасова Екатерина Александровна,5 лет,"01.08.2016 № 297

",судья,,суд Бобруйского района и г. Бобруйска,судья (занимаемая в связи с нахождением в социальном отпуске Шелягиной Марины Витальевны),
,,Осипенко Анна Михайловна,5 лет,15.06.2020 № 213 ,судья,,,,
,,Кренжиевский Дмитрий Сергеевич,5 лет,15.06.2020 № 213 ,судья,15.06.2020 № 213 ,суд Мстиславского района,судья,
,,Артюхович Яна Николаевна,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Быховского района,,Жолудев Владимир Анатольевич,5 лет,22.12.2015  №510,судья,,,,
,,Семашко Марина Евгеньевна,бессрочно,15.10.2020  № 364,судья и председатель суда,,,,
,,Станкевич Наталья Валерьевна,5 лет,27.02.2018 № 88,судья,,,,
,,Морозов Александр Леонидович,5 лет ,25.05.2017 №185,судья,,,,
,,,,,,,,,
суд Славгородского района,,Божков Андрей Николаевич,5 лет,14.11.2017  № 406,судья,,,,
,,Курилин Александр Михайлович,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Мстиславского района,,Морозов Сергей Витальевич,бессрочно,14.11.2017  № 406,судья,,,,
,,Марченко Елена Владимировна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Чериковского района,,Цикунова Елена Евгеньевна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Кравцова Екатерина Владимировна,5 лет ,25.05.2017 №185,судья ,,,,
,,,,,,,,,
,,,,,,,,,
суд Дрибинского района,,Новикова Людмила Владимировна,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,Пигаль Борис Владимирович,бессрочно,"16.10.2008 № 565

",судья ,,,,
,,,,,,,,,
суд Круглянского района,,Сосновский Дмитрий Иванович,5 лет,04.02.2019 № 38,судья и председатель суда,,,,
,,Ветерец Марина Петровна,бессрочно,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Кличевского района,,Балябин Алексей Викторович,5 лет,31.05.2019  № 209,судья и председатель суда,,суд Климовичского района,судья,
,,Латышев Алексей Александрович,5 лет,25.05.2017 №185,судья,,,,
,,Корзо Лариса Васильевна,5 лет,21.04.2016  № 153,судья,,,,
,,,,,,,,,
суд Горецкого района,,Зайцев Александр Александрович,бессрочно,31.05.2019  № 209,судья,,,,
,,Волков Виталий Николаевич,5 лет,31.05.2019  № 209,судья и председатель суда,,суд Шкловского района,судья,
,,Воробьёва Елена Михайловна,5 лет,09.03.2017 № 77,судья,,,,
,,Ляшенко Станислав Владимирович,бессрочно,26.06.2014  № 297,судья,,,,
,,,,,,,,,
суд Костюковичского района,,Андросенко Валентина Ивановна,бессрочно,26.06.2014  № 297,судья и председатель суда,,,,
,,,,,,,,,
суд Глусского района ,,Головнёва Ольга Александровна,5 лет,09.03.2017 № 77,судья,,,,
,,Долгих Нина Васильевна,бессрочно,26.06.2014  № 297,судья и председатель суда,,,,
,,,,,,,,,
,,,,,,,,,
суд Краснопольского района,,Дворяченко Сергей Владимирович,5 лет ,09.03.2017 № 77,судья и председатель суда,,,,
