СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Картузова Ирина Викторовна,5 лет,15.10.2020  № 364,судья,,суд Оршанского района и г. Орши,судья,занимала в связи с нахождением в социальном отпуске Хаткевич Юлии Анатольевны
,,Серговицкая Юлия Валерьевна,5 лет,03.10.2019 № 366,судья,,,,
,,Бойцова Наталья Александровна,5 лет,25.05.2017 № 185,судья и заместитель председателя суда,,,,
,,Котова Алеся Анатольевна,5 лет,25.05.2017 № 185,судья и председатель суда,,,,
,,Шамкова Илона Дмитриевна,5 лет,25.05.2017 № 185,судья,,суд Оршанского района и г. Орши,заместитель предстедателя,
,,Конащенко Людмила Михайловна,бессрочно,03.10.2019 № 366,судья,,,,
,,Кузьмичёнок Светлана Анатольевна,5 лет,03.10.2019 № 366,судья,,,,
,,Архипова Наталья Игоревна,5 лет,09.03.2017 № 77,судья,,,,
,,Лисичёнок Мария Петровна,5 лет,15.06.2020 № 213,судья,,,,
,,Хаткевич Юлия Анатольевна,5 лет,04.02.2019 № 38,судья,,,,
,,,,,,,,,
суд Сенненского района,,Талай Людмила Николаевна,бессрочно,06.02.2020 № 41,судья,,,,
,,Досова Инна Генадьевна,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Городокского района ,,Вихотенко Елена Михайловна,5 лет  ,22.08.2018  № 348,судья,,,,
,,"Гуринова Анна Дмитриевна
",5 лет,15.06.2020 № 213,судья,,,,
,,Лешкович Александр Эдуардович,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Поставского района,,Жукова Наталья Фёдоровна ,5 лет,22.08.2018  № 348,судья,,,,
,,Корытко Анатолий Викторович ,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,,,,,,,,
суд Глубокского района,,Казак Ирина Станиславовна,бессрочно,14.11.2017  № 406,судья и председатель суда,,,,
,,Тарасевич Андрей Романович,бессрочно,09.03.2017 № 77,судья,,,,
,,Ващенко Людмила Степановна,бессрочно,20.05.2002 № 250,судья,,,,
,,,,,,,,,
суд Миорского района,,Кот Елена Анатольевна,5 лет,14.11.2017  № 406,судья,,,,
,,Яскевич Ирина Вячеславовна,5 лет,15.10.2020  № 364,судья и председатель суда,,суд Верхнедвинского района,судья,
,,,,,,,,,
суд Бешенковичского района,,Реут Наталья Петровна,5 лет,14.11.2017  № 406,судья,,,,
,,Рощина Наталья Николаевна,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Шарковщинского района,,Табола Оксана Георгиевна,5 лет,14.11.2017  № 406,судья,,,,
,,Григорьева Наталья Евгеньевна,бессрочно,15.10.2020  № 364,судья и председатель суда,,суд Миорского района ,судья и председатель суда и судья,
,,,,,,,,,
суд Дубровенского района,,Циклинская Мария Петровна,5 лет,14.11.2017  № 406,судья и председатель суда,,суд Оршанского района и г. Орши,Судья,
,,Татаев Игорь Алексеевич,5 лет,22.12.2015  №510,судья,,,,
,,,,,,,,,
суд Докшицкого района,,Елисеенко Вячеслав Владимирович,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,,,,,,,,
суд Лиозненского района,,Лапушинский Алексей Антонович,5 лет,22.08.2018  № 348,судья,,суд Лиозненского района,судья ,занимал должность в связи с нахождении в социальном отпуске Кручининой Ирины Алексеевны
,,Афанасьева Антонина Васильевна,бессрочно,31.07.2017 № 268,судья и председатель суда,,,,
,,,,,,,,,
суд Толочинского района,,Котова Ирина Васильевна,5 лет,27.02.2018 № 88,судья и председатель суда,,,,
,,Борисовец Наталья Иосифовна,бессрочно,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Лепельского района,,Васюк Дмитрий Михайлович,5 лет,22.12.2015  №510,судья и председатель суда,,,,
,,Новик Алеся Васильевна,5 лет,01.08.2016 № 297,судья,,суд Докшицкого района,судья,
,,,,,,,,,
суд Верхнедвинского района,,Коваленко Людмила Геннадьевна,бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,,,,,,,,
суд Браславского района,,"Прокопчик Ольга Брониславовна
",бессрочно,04.02.2019 № 38,судья и председатель суда,,,,
,,Вязицкий Александр Петрович,5 лет,21.04.2016  № 153,судья,,,,
,,,,,,,,,
суд Ушачского района,,Лаюшко Ольга Ивановна,5 лет,25.05.2017 № 185,судья,,,,
,,Зинькевич Фадей Анатольевич,бессрочно,21.04.2016  № 153,судья и председатель суда,,,,
,,,,,,,,,
суд Шумилинского района ,,Унукович Екатерина Михайловна,5 лет,09.03.2017 № 77,судья,,,,
,,Синицкая Елена Алексеевна,бессрочно,01.08.2016 № 297,судья и председатель суда,,,,
