СУД (11 - 9 областных игородской иверховный)),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Инчина Юлия Николаевна,на время нахождения в социальном отпуске Громович Марины Валентиновны,15.10.2020  № 364,судья,,,,
,,Климчук Марина Александровна,5 лет,15.10.2020  № 364,судья,,,,
,,Маргайлик Дарья Владимировна,5 лет,15.10.2020  № 364,судья,,суд Ленинского района г. Минска,судья,занимала в связи с нахождением в социальном отпуске Щеткиной Юлии Владимировны
,,Минич Анастасия Станиславовна,5 лет,15.10.2020  № 364,судья,,,,
,,Плотникова Светлана Леонидовна,5 лет,15.10.2020  № 364,судья,,,,
,,Шут Юлия Степановна,5 лет,15.10.2020  № 364,судья,,,,
,,Шотик Татьяна Викторовна,на время нахождения в социальном отпуске Плотниковой Светланы Леонидовны,03.10.2019 №366,судья,,,,
,,,,,,,,,
суд Заводского района г. Минска,,Шаграй Рита Петровна,5 лет ,06.02.2020 № 41,судья и председатель суда,,,,
,,Осипчик Анастасия Владимировна,5 лет,22.10.2018  № 348,судья,,,,
,,Капцевич Елена Вячеслаловна ,5 лет,22.12.2015  №510,судья,,,,
,,Мокштарева Анна  Леонидовна,5 лет,22.12.2015  №510,судья,,,,
,,Савчук Марина Александровна,5 лет,22.12.2015  №510,судья и заместитель председателя суда,,,,
,,Улог Мария Александровна,5 лет,15.10.2020  № 364,судья,,суд речицкого района,судья,
,,Татарицкая Юлия Алекандровна,5 лет,15.10.2020  № 364,судья,,,,
,,Костюкевич Анжела Евгеньевна,5 лет,27.02.2018 № 88,судья,,,,
,,Остапенко Дмитрий Андреевия,5 лет,03.10.2019 №366,судья и заместитель председателя суда,,,,
,,Романова Екатерина Николаевна,5 лет,09.03.2017 № 77,судья,,,,
,,Гедранович Людмила Иосифовна,5 лет,15.11.2016 № 419,судья,,суд Заводского района г. Минска,судья ,занимала должность в связи с нахождением в социальном отпуске Татарицкой Юлии Александровны
,,,,,,,,,
суд Московского района г. Минска,,Телица Лидия Федоровна,5 лет,31.05.2017 № 268,судья,,,,
,,Бондаренко Светлана Александровна,5 лет,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Пирожникова Татьяна Валерьевна,5 лет,06.02.2020 № 41,судья,,,,
,,Супрун Дмитрий Игоревич,5 лет,06.02.2020 № 41,судья и председатель суда,от 06.02.2020 № 41,Минский городской суд,судья,
,,Хвеженко Михаил Валериевич,5 лет ,06.02.2020 № 41,судья,,,,
,,Яловпя Инна Александровна,5 лет ,31.05.2019  № 209,судья,,суд Московского района г. Минска,судья,"освободив ее от должности, занимаемой в связи с нахождением в социальном отпуске Телицы Лидии Федоровны"
,,Варакса Юлия Владимировна,5 лет,14.11.2017  № 406,судья,,,,
,,Яловая Инна Александровна,на время нахождения в социальном отпуске судьи Телицы Лидии Федоровны,14.11.2017  № 406,судья,,,,
,,Кособуцкая Инна Анатольевна,5 лет,15.06.2020 № 213,судья,,,,
,,Мотыль Татьяна Ярославовна ,5 лет ,22.08.2018  № 348,судья,,,,
,,Андросова Алина Николаевна,5 лет,15.10.2020  № 364,судья,,суд Московского района г. Минска,судья,занимала должность в связи с нахождением в социальном отпуске Пинчук Александры Михайловны
,,Гусакова Ольга Аркадьевна,,15.10.2020  № 364,судья и заместитель председателя суда,,,,
,,Малькова Татьяна Николаевна,5 лет,15.10.2020  № 364,судья,,,,
,,Пинчук Александра Михайловна,5 лет,15.10.2020  № 364,судья,,,,
,,Антипчук Полина Николаевна,5 лет,04.02.2019 № 38,судья,,,,
,,Смолина Светлана Викторовна,5 лет,15.06.2020 № 213,судья,15.06.2020 № 213,суд Московского района г. Минска,"судья, занимавшая должность в связи с нахождением в социальном отпуске Пирожниковой Татьяны Валерьевны ",
,,Фальковская Татьяна Николаевна,бессрочно,26.06.2014  № 297,судья и председатель суда,,Минский городской суд,судья ,
,,Фролова Елена Геннадьевна,5 лет,15.11.2016 № 419,судья,,Минский межгарнизонный военный суд,судья,
,,Кацер Сергей Александрович,5 лет,15.06.2020 № 213,судья,,,,
,,Листратенко Ольга Петровна,5 лет,31.05.2017 № 268,судья,,,,
,,Машкетов Юрий Викторович,5 лет,31.05.2017 № 268,судья,,,,
,,,,,,,,,
суд Фрунзенского района г. Минска,,Богомяков Николай Юрьевич,5 лет ,06.02.2020 № 41,судья,,,,
,,Кухар Анна Юрьевна,5 лет ,06.02.2020 № 41,судья,,,,
,,Мигурский Алексей Эдуардович,5 лет,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Лукашевич Дмитрий Геннадьевич,5 лет,14.11.2017  № 406,судья,,,,
,,Бушева Алена Войтеховна,5 лет,15.06.2020 № 213,судья,,,,
,,Мисуна Светлана Эдуардовна ,бессрочно,22.08.2018  № 348,судья и председатель суда,,,,
,,Осипенко Елена Михайловна,5 лет,22.08.2018  № 348,судья,,,,
,,Близнюк Юлия Александровна,5 лет,04.02.2019 № 38,судья и заместитель председателя суда,,,,
,,Скуратович Алла Александровна ,5 лет ,22.08.2018  № 348,судья,,,,
,,Бричков Александр Владимирович,5 лет,22.12.2015  №510,судья,,,,
,,Лищук Наталья Михайловна,5 лет,22.12.2015  №510,судья,,,,
,,Курко Инесса Игоревна,5 лет,15.10.2020  № 364,судья,,,,
,,Чиж Юлия Ивановна,5 лет,15.10.2020  № 364,судья,,,,
,,Крепская Юлия Викторовна,5 лет,04.02.2019 № 38,судья,,,,
,,Полулех Татьяна Фёдоровна,5 лет,04.02.2019 № 38,судья,,,,
,,Ерохина Мария Вячеславовна,5 лет,27.02.2018 № 88,судья,,суд Фрунзенского района г. Минска,судья (занимаемая в связи с нахождением в социальном отпуске Полулех Татьяны Федоровны),
,,Шумская Татьяна Ивановна,5 лет,03.10.2019 №366,судья,,,,
,,Залуцкая Ирина Владимировна,5 лет,04.02.2019 № 38,судья,,,,
,,Красовская Ольга Владимировна,5 лет ,04.02.2019 № 38,судья,,,,
,,Буйновская Анна Игоревна,5 лет ,21.04.2016  № 153,судья,,,,
,,Гузовская Алеся Сергеевна,5 лет ,21.04.2016  № 153,судья,,,,
,,Млечко Андрей Викторович,5 лет,15.11.2016 № 419,судья,,,,
,,,,,,,,,
суд Первомайского района г. Минска,,Кулик Анастасия Дмитриевна,5 лет ,06.02.2020 № 41,судья,,,,
,,Богомья Ольга Михайловна,5 лет,22.08.2018  № 348,судья,,,,
,,Черепович Светлана Иосифовна,5 лет,15.06.2020 № 213,судья,,,,
,,Петух Наталья Анатольевна ,,22.08.2018  № 348,судья и заместитель председателя суда,,,,
,,Сергей Александр Леонидович,5 лет,22.08.2018  № 348,судья и заместитель председателя суда,,суд Октябрьского района,,судья
,,Дреко Ольга Михайловна,5 лет,22.12.2015  №510,судья,,,,
,,Трусевич Максим Леонидович,"на время нахождения в социальном отпуске Мальковой Татьяны Михайловны, судьи этого суда",04.02.2019 № 38,судья,,,,
,,Линник Татьяна Александровна,5 лет,25.05.2017 №185,судья,,,,
,,Сидорок Инна Владимировна,5 лет,21.04.2016 № 153,судья,,,,
,,Игнатьева Анна Игоревна,5 лет,03.10.2019 №366,судья,,,,
,,Лейковская Анастасия Михайловна,5 лет,03.10.2019 №366,судья,,,,
,,Лободин Павел Олегович,"на время нахождения в социальном отпуске Черникович Ольги Михайловны, судьи этого суда ",15.06.2020 № 213 ,судья,,,,
,,Высоцкая Тамара Александровна,,31.07.2017 № 268,судья и председатель суда,,,,
,,Свиридович Оксана Владимировна,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Центрального района г. Минска,,Оковитая Татьяна Владимировна,5 лет ,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Шабуня Виктория Валериевна,5 лет,22.12.2015  №510,судья,,,,
,,Карсюк Дмитрий Сергеевич,5 лет,15.10.2020  № 364,судья,,,,
,,Манкевич Ольга Ивановна,5 лет,15.10.2020  № 364,судья,,,,
,,Лякса Елизавета Павловна,5 лет,27.02.2018 № 88,судья,,,,
,,Мацкевич Эльмира Андреевна,5 лет,27.02.2018 № 88,судья,,,,
,,Петраш Александр Александрович,бессрочно,25.05.2017 №185,судья и председатель суда,,,,
,,Скопец Татьяна Николаевна,5 лет,03.10.2019 № 366,судья и заместитель председателя суда,03.10.2019 № 366,суд Московского района г. Минска,судья,
,,Костян Иван Игнатьевич,5 лет,09.03.2017 № 77,судья,,,,
,,Полоневич Ольга Викторовна,5 лет,09.03.2017 № 77,судья,,,,
,,Свистунова Валентина Николаевна,5 лет,09.03.2017 № 77,судья,,,,
,,Густыр Юлия Чеславовна,5 лет,15.11.2016 № 419,судья,,,,
,,Длужневский Александр Николаевич,5 лет,15.11.2016 № 419,судья,,,,
,,Денкевич Андрей Казимирович,5 лет,31.07.2017 № 268,судья,,,,
,,,,,,,,,
суд Партизанского района г. Минска,,Павловская Ольга Антоновна,5 лет,06.02.2020 № 41,судья и заместитель председателя суда,,,,
,,Кочик Александр Васильевич,5 лет,15.10.2020  № 364,судья,,суд Партизанского района г. Минска,заместитель председателя суда,истечение срока полномочий
,,Липневич Николай Николаевич,5 лет,15.10.2020  № 364,судья и заместитель председателя суда,,суд Фрунзенского района г. Минска,судья,
,,Макаревич Михаил Викторович ,5 лет,15.10.2020  № 364,судья,,,,
,,Дедкова Наталья Анатольевна,5 лет,04.02.2019 № 38,судья,,,,
,,Чайко Екатерина Владимировна,5 лет,27.02.2018 № 88,судья,,,,
,,Басалыга Татьяна Александровна,5 лет,21.04.2016  № 153,судья,,суд Партизанского района г. Минска,судья,занимала должность в связи с нахождением в социальном отпуске Волчковой Марианны Леонидовны
,,Волчкова Марианна Леонидовна,5 лет,21.04.2016  № 153,судья,,,,
,,Хома Михаил Иванович,5 лет,03.10.2019 №366,судья и председатель суда,,,,
,,Олейникова Татьяна Владимировна,на время нахождения в социальном отпуске Чайко Екатерины Владимировны,04.02.2019 № 38,судья,,,,
,,,,,,,,,
суд Советского района г. Минска,,Шумейко Мария Сергеевна,5 лет ,06.02.2020 № 41,судья,,,,
,,Лешкевич Мария Николаевна,5 лет,04.02.2019 № 38,судья и заместитель председателя суда,,суд Фрунзенского района г. Минска,судья,
,,Жукович Елена Геннадьевна,5 лет,22.08.2018  № 348,судья ,,суд Ленинского района г. Бреста,судья,
,,Крукович Елена Николаевна,5 лет,22.12.2015  №510,судья,,,,
,,Якунчихин Александр Анатольевич,5 лет,22.12.2015  №510,судья и заместитель председателя суда,22.12.2015  №510,суд Центрального района г. Минска,судья,
,,Жданок Дмитрий Дмитриевич,5 лет,15.10.2020  № 364,судья,,,,
,,Абрамович Вероника Светославовна,5 лет,27.02.2018 № 88,судья и председатель суда,,,,
,,Солопан Светлана Александровна,5 лет,03.10.2019 №366,судья,,,,
,,Шатило Сергей Викторович,5 лет,25.05.2017 №185,судья,,,,
,,Волк Александр Александрович,5 лет,21.04.2016  № 153,судья,,,,
,,Бондар Наталья Леонидовна,5 лет,09.03.2017 № 77,судья,09.03.2017 № 77,суд Московского района г. Минска,судья (занимаемая в связи с нахождением в социальном отпуске Фроловой Елены Геннадьевны),
