СУД (11 - 9 областных игородской иверховный),СУДЬЯ,Ф.И.О. судьи ,Срок назначения,Номер и дата указа президента,Кем назначен (на какую должность),Дата и номер указа,"Суд, из которого освобожден_а (в им. падеже)","Должность, с которой освобожден_а",Причина освобождения (если есть)
,,Барейко Денис Васильевич,на время нахождения в социальном отпуске Кажуро Анны Федоровны,15.10.2020  № 364,судья,,,,
,,Голец Татьяна Геннадьевна,5 лет,15.10.2020  № 364,судья,,,,
,,Кохановская Инна Валерьевна,5 лет,15.10. 2020  № 364,судья,,,,
,,Синявский Дмитрий Владимирович,5 лет,15.06.2020 № 213 ,судья и председатель суда,15.06.2020 № 213 ,суд Молодечненского района,судья и председатель суда,
,,Коваленок Татьяна Николаевна,5 лет,04.02.2019 № 38 ,судья,,,,
,,Дубовик Ольга Анатольевна,5 лет,15.06.2020 № 213 ,судья и заместитель председателя суда,15.06.2020 № 213,суд Молодечненского района,заместитель председателя суда,
,,Кажуро Анна Фёдоровна,5 лет,03.10.2019 №366,судья,,,,
,,Герман Наталья Валерьевна,5 лет,15.06.2020 № 213 ,судья и заместитель председателя суда,,,,
,,Логачёв Олег Викторович,бессрочно,15.06.2020 № 213 ,судья и заместитель председателя суда,15.06.2020 № 213 ,суд Несвижского района,судья и председатель суда и судья,
,,Гаранович Игорь Александрович,5 лет,15.11.2016 № 419,судья,,,,
,,Демашкевич Анна Федоровна,5 лет,26.06.2014 № 297,судья,,,,
,,,,,,,,,
суд Несвижского района,,Крупец Ольга Владимировна,5 лет,15.11.2016 № 419,судья,,,,
,,Гвозд Дмитрий Александрович,бессрочно,15.06.2020 № 213,судья и председатель суда,,,,
,,,,,,,,,
,,,,,,,,,
суд г. Жодино,,Трепашко Татьяна Васильевна,5 лет,15.10.2020  № 364,судья,,,,
,,Муковозчик Анна Николаевна,5 лет,15.06.2020 № 213 ,судья,,,,
,,Самойло Николай Федорович,бессрочно,09.03.2017 № 77,судья и председатель суда,,,,
,,Якубицкая Екатерина Геннадьевна,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Узденского района,,Костриков Александр Иванович,бессрочно,27.02.2018 № 88,судья и председатель суда,,,,
,,Лещун Ольга Владимировна,5 лет,31.07.2017 № 268,судья,,суд Несвижского района,судья,
,,,,,,,,,
суд Любанского района,,Сиз Андрей Николаевич,5 лет,27.02.2018 № 88,судья и председатель суда,,,,
,,Конева Светлана Аркадьевна,5 лет,21.04.2016  № 153,судья,,,,
,,,,,,,,,
суд Стародорожского района,,Филатова Диана Геннадьевна,5 лет,27.02.2018 № 88,судья,,,,
,,Зык Наталья Александровна,5 лет,31.05.2019  № 209,судья и председатель суда,,,,
,,,,,,,,,
суд Крупского района,,Саттарова Ольга Николаевна,5 лет,22.12.2015  №510,судья,,,,
,,Сивакова Любовь Станиславовна,,04.02.2019 № 38 ,судья и председатель суда,,,,
,,Майстренко Татьяна Александровна,5 лет,04.02.2019 № 38 ,судья,,,,
,,,,,,,,,
суд Вилейского района,,Ахметова Елена Николаевна,5 лет,03.10.2019 №366,судья,,,,
,,Борис Татьяна Викторовна,5 лет,03.10.2019 №366,судья и председатель суда,,,,
,,Колядов Константин Петрович,5 лет,25.05.2017 № 185,судья,,,,
,,,,,,,,,
суд Березинского района,,Король Николай Вячеславович,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,Пенкрат Оксана Анатольевна,5 лет,09.03.2017 № 77,судья,,,,
,,,,,,,,,
суд Копыльского района ,,"Кисель Елена Сергеевна
",5 лет,04.02.2019 № 38,судья,,,,
,,Карпучок Татьяна Николаевна,бессрочно,20.08.2013 № 364,судья и председатель суда,,,,
,,,,,,,,,
суд Мядельского района,,Мисюк Елена Вацлавовна,5 лет,04.02.2019 № 38 ,судья,,,,
,,Малевич Игорь Яковлевич,бессрочно,31.05.2019  № 209,судья и председатель суда,,,,
,,,,,,,,,
суд Воложинского района,,Якутович Ирина Александровна,5 лет,04.02.2019 № 38 ,судья,,,,
,,Нестеревская Татьяна Сергеевна,бессрочно,15.06.2020 № 213 ,судья и председатель суда,,,,
,,,,,,,,,
суд Столбцовского района,,Алехнович Ирина Геннадьевна,5 лет,21.04.2016  № 153,судья,,,,
,,Шутько Людмила Георгиевна,5 лет,01.08.2016 № 297,судья и председатель суда,,,,
,,Судник Виктория Вячеславовна,5 лет,15.11.2016 №419,судья,,,,
,,,,,,,,,
суд Клецкого района,,Гостеева Елена Михайловна,бессрочно,15.11.2016 № 419,судья и председатель суда,,,,
