id,parent_id,code,type,name,description,location,latitude,longitude
5593,5586,103/7,2,Участок для голосования №406,"УЗ ""Городская детская инфекционная клиническая больница""","г.Минск, ул.Якубовского, 53",53.8934,27.4558
5594,5586,103/8,2,Участок для голосования №407,"ГУО ""Центр технического и художественного творчества детей и молодежи Фрунзенского района г.Минска ""Зорка""","г.Минск, ул.Одинцова, 10",53.8994,27.4569
5595,5586,103/9,2,Участок для голосования №408,"ГУО ""Средняя школа №151 г.Минска""","г.Минск, ул.Одинцова, 12",53.8996,27.4544
5596,5586,103/10,2,Участок для голосования №409,"ГУО ""Средняя школа №151 г.Минска""","г.Минск, ул.Одинцова, 12",53.8996,27.4544
5597,5586,103/11,2,Участок для голосования №410,"ГУО ""Центр технического и художественного творчества детей и молодежи Фрунзенского района г.Минска ""Зорка""","г.Минск, ул.Одинцова, 10",53.8994,27.4569
5598,5586,103/12,2,Участок для голосования №411,"ГУО ""Средняя школа №140 г.Минска""","г.Минск, ул.П.Глебки, 30",53.9113,27.4735
5599,5586,103/13,2,Участок для голосования №412,"ГУО ""Средняя школа №140 г.Минска""","г.Минск, ул.П.Глебки, 30",53.9113,27.4735
5600,5586,103/14,2,Участок для голосования №413,"ГУО ""Средняя школа №125 г.Минска""","г.Минск, ул.Жудро, 15",53.9125,27.4777
5601,5586,103/15,2,Участок для голосования №414,"ГУО ""Средняя школа №125 г.Минска""","г.Минск, ул.Жудро, 15",53.9125,27.4777
5602,5586,103/16,2,Участок для голосования №415,"ГУО ""Средняя школа №136 г.Минска""","г.Минск, ул.Д.Сердича, 5",53.9107,27.4851
5603,5586,103/17,2,Участок для голосования №416,"ГУО ""Средняя школа №136 г.Минска""","г.Минск, ул.Д.Сердича, 5",53.9107,27.4851
5604,5586,103/18,2,Участок для голосования №417,"ГУО ""Средняя школа №136 г.Минска""","г.Минск, ул.Д.Сердича, 5",53.9107,27.4851
5605,5586,103/19,2,Участок для голосования №418,"ГУО ""Средняя школа №116 г.Минска""","г.Минск, ул.Матусевича, 5",53.9144,27.4891
5606,5586,103/20,2,Участок для голосования №419,"ГУО ""Средняя школа №116 г.Минска""","г.Минск, ул.Матусевича, 5",53.9144,27.4891
5607,5586,103/21,2,Участок для голосования №420,"ГУО ""Средняя школа №138 г.Минска""","г.Минск, ул.Одоевского, 34",53.9038,27.493
5608,5586,103/22,2,Участок для голосования №421,"ГУО ""Средняя школа №138 г.Минска""","г.Минск, ул.Одоевского, 34",53.9038,27.493
5609,5586,103/23,2,Участок для голосования №422,"ГУО ""Гимназия №27 г.Минска""","г.Минск, ул.Я.Мавра, 10",53.9051,27.4847
5610,5586,103/24,2,Участок для голосования №423,"ГУО ""Гимназия №27 г.Минска""","г.Минск, ул.Я.Мавра, 10",53.9051,27.4847
5611,5586,103/25,2,Участок для голосования №424,"ГУО ""Гимназия №27 г.Минска""","г.Минск, ул.Я.Мавра, 10",53.9051,27.4847
5612,5586,103/26,2,Участок для голосования №425,"ГУО ""Средняя школа №38 г.Минска""","г.Минск, ул.Бельского, 59а",53.8964,27.4862
5613,5586,103/27,2,Участок для голосования №426,"ГУО ""Средняя школа №38 г.Минска""","г.Минск, ул.Бельского, 59а",53.8964,27.4862
5614,5586,103/28,2,Участок для голосования №427,"ГУО ""Средняя школа №38 г.Минска""","г.Минск, ул.Бельского, 59а",53.8964,27.4862
5615,5586,103/29,2,Участок для голосования №428,"УЗ ""Городской клинический родильный дом №2""","г.Минск, ул.Бельского, 60",53.8965,27.4791
5616,5586,103/30,2,Участок для голосования №429,"ГУО ""Средняя школа №126 г.Минска""","г.Минск, ул.Я.Мавра, 35",53.8958,27.492
5617,5586,103/31,2,Участок для голосования №430,"ГУО ""Средняя школа №126 г.Минска""","г.Минск, ул.Я.Мавра, 35",53.8958,27.492
5618,5586,103/32,2,Участок для голосования №431,"ГУО ""Средняя школа №7 г.Минска""","г.Минск, пр.Пушкина, 5а",53.8952,27.4947
5619,5586,103/33,2,Участок для голосования №432,"ГУО ""Средняя школа №7 г.Минска""","г.Минск, пр.Пушкина, 5а",53.8952,27.4947
5620,5586,103/34,2,Участок для голосования №433,"ГУО ""Средняя школа №7 г.Минска""","г.Минск, пр.Пушкина, 5а",53.8952,27.4947
5621,10000,104,1,ОИК 104,каб.408,"г.Минск, ул.Кальварийская, 39",53.9082047,27.5090817
5622,5621,104/1,2,Участок для голосования №434,"ГУО ""Средняя школа №96 г.Минска""","г.Минск, пр.Пушкина, 12",53.8991,27.499
5623,5621,104/2,2,Участок для голосования №435,"ГУО ""Средняя школа №96 г.Минска""","г.Минск, пр.Пушкина, 12",53.8991,27.499
5624,5621,104/3,2,Участок для голосования №436,"общежитие УП ""Ремфорт""","г.Минск, пр.Пушкина, 20",53.901,27.4975
5625,5621,104/4,2,Участок для голосования №437,"ГУО ""Средняя школа №99 г.Минска""","г.Минск, ул.Б.Берута, 13",53.9022,27.5086
5626,5621,104/5,2,Участок для голосования №438,"ГУО ""Средняя школа №127 г.Минска""","г.Минск, ул.Б.Берута, 12",53.904,27.5016
5627,5621,104/6,2,Участок для голосования №439,"ГУО ""Средняя школа №127 г.Минска""","г.Минск, ул.Б.Берута, 12",53.904,27.5016
5628,5621,104/7,2,Участок для голосования №440,"ГУО ""Средняя школа №16 г.Минска""","г.Минск, ул.Бирюзова, 13",53.9112,27.5124
5629,5621,104/8,2,Участок для голосования №441,"ГУО ""Средняя школа №16 г.Минска""","г.Минск, ул.Бирюзова, 13",53.9112,27.5124
5630,5621,104/9,2,Участок для голосования №442,"ГУО ""Физкультурно спортивный центр детей и молодежи Фрунзенского района г.Минска""","г.Минск, ул.Притыцкого, 16",53.913815,27.499238
5631,5621,104/10,2,Участок для голосования №443,"ГУО ""Физкультурно спортивный центр детей и молодежи Фрунзенского района г.Минска""","г.Минск, ул.Притыцкого, 16",53.913815,27.499238
5632,5621,104/11,2,Участок для голосования №444,"ГУО ""Физкультурно спортивный центр детей и молодежи Фрунзенского района г.Минска""","г.Минск, ул.Притыцкого, 16",53.913815,27.499238
5633,5621,104/12,2,Участок для голосования №445,"ГУО ""Гимназия №19 г.Минска""","г.Минск, пр.Пушкина, 48",53.9159,27.4991
5634,5621,104/13,2,Участок для голосования №446,"ГУО ""Гимназия №32 г.Минска""","г.Минск, ул.Д.Сердича, 26",53.9175,27.4884
5635,5621,104/14,2,Участок для голосования №447,"ГУО ""Гимназия №32 г.Минска""","г.Минск, ул.Д.Сердича, 26",53.9175,27.4884
