Код комиссии,"1. Агульная колькасць выбаршчыкаў на ўчастку (вызначаецца па спісу грамадзян, якія маюць права ўдзельнічаць у выбарах)","2. Колькасць выбаршчыкаў, якія атрымалі бюлетэні (вызначаецца шляхам падліку подпісаў выбаршчыкаў у спісе грамадзян, якія маюць права ўдзельнічаць у выбарах","3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні (вызначаецца шляхам падліку бюлетэняў, якія знаходзіліся ў скрынках для галасавання)","3.1. Колькасць выбаршчыкаў, якія прынялі ўдзел у датэрміновым галасаванні","3.2. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні па месцы знаходжання","3.3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні ў дзень выбараў у памяшканні ўчастка для галасавання",Дмитриев Андрей Владимирович,Канопацкая Анна Анатольевна,Лукашенко Александр Григорьевич,Тихановская Светлана Георгиевна,Черечень Сергей Владимирович,"5. Колькасць галасоў, пададзеных за кандыдата (кандыдатаў), які (якiя) выбыў (выбылі) у перыяд датэрміновага галасавання","6. Колькасць галасоў, пададзеных супраць усiх кандыдатаў","7. Колькасць галасоў, пададзеных супраць кандыдата, калi галасаванне праводзілася па адной кандыдатуры","8. Колькасць бюлетэняў, прызнаных несапраўднымі","9. Колькасць бюлетэняў, атрыманых участковай выбарчай камісіяй",10. Колькасць сапсаваных бюлетэняў,11. Колькасць нявыкарыстаных (пагашаных) бюлетэняў,Вложение 1,Вложение 2,Вложение 3,Вложение 4,Вложение 5,Вложение 6,Вложение 7,Комментарий,,
05-042-0041,995,925,925,386,112,427,24,24,345,427,23,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/laceggmmvct9pm8ej5wuhx0zjzh0,,,,,,,,,
05-042-0050,712,608,608,240,84,284,2,4,308,216,3,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/v6g23ywv5528d3vajhh3ita59zk3,,,,,,,Нет второй страницы.,,
05-042-0056,445,396,396,108,191,97,4,6,279,80,9,,15,,3,405,0,9,https://elections2020by.s3.eu-north-1.amazonaws.com/u83ead66n51ff3nfw2u0fq4x48bv,,,,,,,нет подписей,,
05-042-0062,741,691,691,229,150,312,11,16,460,150,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/c0k02rnrvh5tz8hqs5yglmiqulpo,,,,,,,одна страница,,
05-044-0002,1848,1816,1816,778,98,940,21,17,1252,411,16,,88,,11,1825,0,9,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0002_fee50f12f9976fe345a2ec5f4ff5101640b263d0,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0002_fb909c304334e6bbec6b990aedd7bf7048c54d24,,,,,,,,
05-044-0003,569,508,508,170,11,327,9,8,355,108,5,,23,,0,587,0,89,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0003_9c3c299a76dc33d328d17935665cc5c19cfabb1f,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0003_a7a30d090e6f01a763f63aeec046ca0bd28a9413,,,,,,нет подписей,,
05-044-0004,1570,1221,1221,252,12,957,27,9,343,731,29,,66,,16,1580,3,356,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0004_349939fb08c48c3319f94521ad15ba452cbe6d39,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0004_01efe692faa12c342944ab70240bbb3acbb298f6,,,,,,,,
05-044-0006,2214,2147,2147,837,43,1267,19,9,1578,248,19,,259,,15,2214,1,66,https://elections2020by.s3.eu-north-1.amazonaws.com/5065_ca480803893145fa7328,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0006_c4153bf2b69254ddeb3dfd5c690c493a8a7f31e8,,,,,,нет подписи,,
05-044-0007,1756,1594,1594,493,30,1073,27,12,829,562,37,,116,,11,1844,2,248,https://elections2020by.s3.eu-north-1.amazonaws.com/1ko5zwkxdawm97xbbyw67bvkx14m,https://elections2020by.s3.eu-north-1.amazonaws.com/b6zo9kbsaufesr1ncpxe939vfx59,,,,,,нет подписей,,
05-044-0010,1209,1004,1004,436,40,528,23,11,512,352,8,,85,,13,1213,,215,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0010_0d63719318c567b9cc9650d3150cc64c28f06a67,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0010_7dd784edfec67459848b9b6a18ea60d8dd930c17,,,,,,Нет подписей,,
05-044-0011,177,150,150,52,7,91,4,1,130,10,1,,1,,,177,3,27,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0011_ca9da7cd1fd519d7e5df96af491c46fe6b1df169,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0011_fbd3eed00f776ca2768834adc3934bc82ecfd076,,,,,,,,
05-044-0015,984,866,865,429,185,251,4,15,472,290,16,,53,,10,904,,38,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0015_76e72b9f7dba62debfa1a606aef99bbd38c1a55b,,,,,,,"пункты 1, Тихановская, 11 - плохо различимы",,
05-044-0016,1274,1153,1153,552,90,511,25,20,731,295,16,,60,,6,1288,0,135,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0016_60b6eed054a7057df27354159f48e53cb148dfd4,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0016_afef1479e9425645cd25a14f6f9c7aed769b8b46,,,,,,,,
05-044-0017,1045,918,918,315,119,484,27,26,436,368,8,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0017_c377e9cce8a872f29811b7378b5fdc197318daad,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0017_f54e20a2117ba1cb542a7ae6fbbe02ddabeceb62,,,,,,одна страница,,
05-044-0022,794,794,661,159,163,339,15,19,343,230,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/rgchf1yqmubnrhf1w0pd8v5yxl3s,,,,,,,,,
05-044-0024,388,355,355,168,57,130,3,1,302,24,3,,22,,0,410,0,55,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0024_90b4a3935ab4e4d809f3d84ca85059dbcc0964d5,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-044-0024_e21bd3a60aebe35cb2c492d4c6873fce91536138,,,,,,нет подписей,,
05-044-0025,794,794,661,159,163,339,15,19,343,230,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/fuwsyyf01eg0aexnzpztldj6sd9q,,,,,,,одна страница,,
05-045-0007,584,561,561,172,230,159,3,7,470,62,3,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/xvc7ig3fn30a0wdr54sfrd3hqeny,,,,,,,одна страница,,
05-045-0012,308,296,296,117,52,127,8,5,124,128,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-045-0012_e68d3de15e46387e2659daba13d353f91130e7ba,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-045-0012_e68d3de15e46387e2659daba13d353f91130e7ba,,,,,,одна страница,,
05-045-0014,1090,1051,1051,330,185,536,10,13,574,396,11,,34,,13,1061,0,10,https://elections2020by.s3.eu-north-1.amazonaws.com/5110_f7f29cdb1ccc52f0a69a,,,,,,,,,
05-045-0018,692,625,625,129,323,173,9,14,392,168,6,,20,,16,720,,95,https://elections2020by.s3.eu-north-1.amazonaws.com/14yc4w52422qn4bmxz8lg84kwqjs,https://elections2020by.s3.eu-north-1.amazonaws.com/lnh117vqmdshahkjolja2i4ljemn,,,,,,,,
05-046-0019,2160,1743,1743,850,41,852,30,21,1391,173,23,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/5136_c5961a0d49949b04ac2d,,,,,,,Нет второй стороны,,
05-046-0022,1806,1458,1458,556,27,875,29,17,671,648,18,,70,,5,1872,1,413,https://elections2020by.s3.eu-north-1.amazonaws.com/xqjfnd93cnx5bhytwqi0l4ihe1bp,https://elections2020by.s3.eu-north-1.amazonaws.com/1j08ci6h2zweef4k8f2a0g8kmoom,,,,,,,,
05-141-0001,2225,1521,1520,357,2,1161,20,10,649,713,12,,87,,29,2300,1,779,https://elections2020by.s3.eu-north-1.amazonaws.com/6516asdc4jhqmsfvfimewwtnc0xc,https://elections2020by.s3.eu-north-1.amazonaws.com/v4j9mntp3zqhd8mjvqmel994ss54,,,,,,,,
05-141-0003,2389,1550,1538,300,10,1240,28,17,291,1048,33,,121,,12,2483,0,933,https://elections2020by.s3.eu-north-1.amazonaws.com/cicco9l4r277yopz0ecc6etwn25b,,,,,,,,,
05-141-0004,1818,1460,1460,409,2,1049,28,14,580,687,23,,120,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4kmntv59bmix98sxap5z4vl2gi8b,https://elections2020by.s3.eu-north-1.amazonaws.com/fmtzru7evajeualj75rvdfqbdu6p,,,,,,,,
05-141-0005,2369,1486,1484,256,5,1223,32,13,323,1002,21,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/rzkm0d8ge1mlkq5ypobyxp6l0jio,https://elections2020by.s3.eu-north-1.amazonaws.com/4577_47341b7e262f4e893206,,,,,,одна страница,,
05-141-0006,2486,1845,1842,516,10,1316,22,17,707,1004,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/hylrl0ovlmfs2r05fcspome3ehkv,,,,,,,Фотография ну просто ужас! Цифры плохо видны,,
05-141-0007,1325,1132,1132,391,115,626,27,14,698,356,8,,20,,9,1392,0,260,https://elections2020by.s3.eu-north-1.amazonaws.com/2e9dkib31rctc3rdb21joa2wowz2,https://elections2020by.s3.eu-north-1.amazonaws.com/9nqmfd6oi7fr2h4ybhcxv58hvgm6,,,,,,,,
05-141-0008,2144,1437,1437,198,14,1225,31,11,613,688,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0008_48d5ed05952727678eda225955b844df52fdf079,,,,,,,нет второй страницы,,
05-141-0009,1974,1428,1428,189,5,1234,22,14,567,705,4,,106,,10,2073,0,645,https://elections2020by.s3.eu-north-1.amazonaws.com/6h6y0f2m8b48dgbibhp7nmy2i0w8,https://elections2020by.s3.eu-north-1.amazonaws.com/ckvliyqwyfc42hfmdolot68ieog3,,,,,,нет второй страницы,,
05-141-0010,1904,1287,1287,703,50,534,20,93,815,196,20,,113,,90,2000,2,711,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0010_91cbdb0bbc18af63c49e82f224fa8619835f5946,,,,,,,нет подписи,,
05-141-0011,1821,1089,1263,168,6,1089,17,10,178,947,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4583_5c1e7860c319fe9a3a4e,,,,,,,Нет второй страницы.,,
05-141-0012,1821,1279,1279,133,8,1138,13,14,183,960,15,,80,,14,1842,2,561,https://elections2020by.s3.eu-north-1.amazonaws.com/mnnschwijcecmxy94bw9vagrnyup,https://elections2020by.s3.eu-north-1.amazonaws.com/4584_2fcd4dc5d63b1f0e1930,,,,,,,,
05-141-0013,2980,1493,1493,143,8,1342,22,8,419,1024,20,,76,,30,3000,,3,https://elections2020by.s3.eu-north-1.amazonaws.com/4585_fd1f0aac9c92edf52670,https://elections2020by.s3.eu-north-1.amazonaws.com/4585_7803760c9c493ba0df8d,,,,,,,,
05-141-0014,1818,1239,1239,240,13,986,23,13,270,837,16,,68,,12,1887,,648,https://elections2020by.s3.eu-north-1.amazonaws.com/uwqs6fbn05kutpph32gw0hu7aap2,https://elections2020by.s3.eu-north-1.amazonaws.com/0urystyq20141ihp8r68afs6865b,,,,,,Ранее была отправлена только первая страница протокола. Сейчас же заполнено всё.,,
05-141-0015,1680,1173,1173,349,10,814,14,20,395,652,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0013_51a696a38564f616dea1f987b6285957d1e5beaf,,,,,,,одна стр,,
05-141-0016,1795,1060,1060,244,5,820,22,10,291,636,18,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/xzlj66187pwyv66q4b6n6kuenllw,,,,,,,,,
05-141-0017,1830,1231,1231,161,3,1067,18,14,235,860,18,,82,,4,1836,2,603,https://elections2020by.s3.eu-north-1.amazonaws.com/4589_93beca0955ce077d4e66,https://elections2020by.s3.eu-north-1.amazonaws.com/3cu9gs6fvo1608s1qy6989ey1m21,,,,,,,,
05-141-0018,1550,1130,1125,192,4,929,10,15,356,660,16,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/dxgl222r6tcatap23ion3t7pncab,,,,,,,нет второй страницы,,
05-141-0019,2125,1410,1409,206,1,1202,21,18,242,985,21,,100,,22,2205,5,790,https://elections2020by.s3.eu-north-1.amazonaws.com/kotuf1tlzx5hglgrnegds0xbvfue,https://drive.google.com/file/d/1JISSqWR-mG1f05NfqS8VYa1FXXQ8VQD_/view,,,,,,Нет второй стороны,,
05-141-0022,430,427,427,0,0,427,15,16,136,211,3,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/mdmyri78tuzosa5rktoq9ck5yq42,,,,,,,,,
05-141-0024,1883,1785,1785,682,10,1093,21,16,982,541,25,,191,,9,1978,,98,https://elections2020by.s3.eu-north-1.amazonaws.com/3ic49cz42p90wml9q2jf3qlmfxsg,https://elections2020by.s3.eu-north-1.amazonaws.com/t0o1z22ws1eo69od235sbwy3hs52,,,,,,Нет второй стороны,,
05-141-0025,2375,1741,1737,295,11,1431,27,14,279,1274,22,,107,,14,2500,4,754,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0025_3300265c1a23c7ce00e06f50ace308e7323e0347,https://elections2020by.s3.eu-north-1.amazonaws.com/xwb169jxlbsuhxqy37yqfhfkwy6i,https://elections2020by.s3.eu-north-1.amazonaws.com/7xb0ts8x0ivtd4cklk2jo3pv13zz,,,,,нет второй страницы,,
05-141-0026,3062,2609,2607,123,2,2482,12,5,132,2341,19,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/54foywprs02agb63nkmdxuk0d4mf,,,,,,,Нет второй стороны,,
05-141-0027,2032,1457,1455,102,1,1352,16,8,83,1248,15,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/oiwy6mlrk0szc7zdz3m6le2qmwh1,,,,,,,нет второй станицы,,
05-141-0028,2443,1708,1708,290,3,1415,29,12,457,1049,32,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/93un8rshgoxhdw99nn7xee4z7agt,https://elections2020by.s3.eu-north-1.amazonaws.com/kgdkngcl9b8uok6xp465llx8vk8d,,,,,,"вторая страница не заполнена, но подписана",,
05-141-0029,872,663,663,341,0,322,10,3,340,263,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/pbelftrdxh3zsl5hlou7m8i848cc,,,,,,,нет второй страницы,,
05-141-0030,1869,1381,1381,407,62,912,19,22,762,445,11,,97,,,1869,25,488,https://elections2020by.s3.eu-north-1.amazonaws.com/m1qhnt6euvy621k8qib4urlycx98,,,,,,,,,
05-141-0031,717,592,592,162,66,364,8,4,241,295,19,,31,,3,754,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ozzdnudxtjuegwpmrt45apvcj3my,https://elections2020by.s3.eu-north-1.amazonaws.com/4603_6d0ea923ed5947afd1d5,,,,,,,,
05-141-0032,1609,1386,1386,344,469,573,18,32,987,256,20,,47,,26,1634,,248,https://elections2020by.s3.eu-north-1.amazonaws.com/igtosxe15w6w168g3kvcmj7plwic,https://elections2020by.s3.eu-north-1.amazonaws.com/xmjrdbre2fmfevs85hf5mqv8v265,,,,,,,,
05-141-0033,1036,852,852,277,89,486,14,14,501,249,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4605_00b1bd28791f7f2d0f2b,,,,,,,одна стр,,
05-141-0034,2001,1721,1721,360,251,1110,21,29,894,638,36,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/wzzf3jqz7mppzhamhmly2f7f4knc,,,,,,,,,
05-141-0035,2143,1508,1502,308,19,1175,16,13,796,644,4,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/j9x4kw0ypc43l3jpuq1piz1zfpfs,,,,,,,нет второй страницы,,
05-141-0036,3298,1797,1781,193,36,1552,3,4,983,768,2,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/wr3aizeialc8um85o0jqu307ni52,,,,,,,,,
05-141-0037,61,61,61,0,0,61,1,1,47,5,1,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/5pc0b0ep0qgcllmwpyjesvojwcjt,,,,,,,нет второй страницы,,
05-141-0038,2242,1784,1784,297,203,1284,18,11,956,700,16,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0038_7e52860c7da549bebfa80d8b6e603be33ba76e5c,,,,,,,,,
05-141-0039,2404,2217,2217,618,27,1572,8,24,1302,846,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/gfevqckf7snvxvbjnob5lga4581a,,,,,,,нет второй страницы,,
05-141-0040,2411,1523,1523,136,28,1359,12,12,153,1266,10,,62,,8,2486,1,962,https://elections2020by.s3.eu-north-1.amazonaws.com/6bgmwxgzz2qgqttd9ke1wgr12pv2,,,,,,,,,
05-141-0041,855,798,798,303,20,475,10,10,396,353,3,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/3fh5rlmjkosixlvm7rqwpvv7ay6j,,,,,,,,,
05-141-0042,1389,1051,1051,213,13,825,8,13,377,639,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4614_82712eb5e25555aa7efb,https://elections2020by.s3.eu-north-1.amazonaws.com/c22ys1psr6y4ksdqzr2uqne9956q,,,,,,одна страница,,
05-141-0043,,,,,,,,,690,718,,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4615_571f534bc09be2d80fbe,,,,,,,на видео слышны только результаты Тихановской и Лукашенко,,
05-141-0044,2421,1684,1684,279,16,1389,17,17,742,775,24,,106,,1,2527,,842,https://elections2020by.s3.eu-north-1.amazonaws.com/utsxh8frze3iwmw2emdqkujqbygn,https://elections2020by.s3.eu-north-1.amazonaws.com/qw97aivll9iydmmvu11ox9l59e43,,,,,,,,
05-141-0045,2616,2005,2005,438,11,1556,28,69,1037,701,24,,123,,23,2734,,729,https://elections2020by.s3.eu-north-1.amazonaws.com/3333h8i5wp8g3r6y60xq3ll371dl,https://elections2020by.s3.eu-north-1.amazonaws.com/3xtglbbs9igg3e0dijjc1449khzm,,,,,,,,
05-141-0046,1275,910,910,224,13,673,15,11,420,401,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/3bzf72z2l5v4wno88w6ugnx9apu5,,,,,,,Нет второй стороны,,
05-141-0047,1935,1351,1351,197,26,1128,6,4,729,581,7,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/1j2k97yzomd98lfjtt3x43c3zw9s,,,,,,,нет второй страницы,,
05-141-0048,1503,1063,1063,366,6,691,25,12,478,473,19,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/zv11sp0re5dgp6d1vfadtgdcj7ii,,,,,,,,,
05-141-0050,1855,1410,1404,486,24,894,24,23,497,719,24,,106,,11,1949,3,536,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0050_f5ff37787214ee369ad43ab928732212160a089b,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0050_10c5b7f95cedc2ee3abd16edceaade0ef289c30e,,,,,,,,
05-141-0051,2117,1490,1490,340,18,1132,26,15,589,737,30,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/p6lrxlck3jhifiuvuuik85f9szk8,,,,,,,Нет второй страницы,,
05-141-0052,1981,1574,1574,532,22,1020,31,26,1070,361,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ukchr8wcd450g7za37q8r5mwh1ko,,,,,,,,,
05-141-0054,2312,2412,1655,127,15,1513,24,20,277,1230,10,,78,,16,2428,2,771,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0054_a0ce3e99f24455891b79d9b923a110a184f53052,https://elections2020by.s3.eu-north-1.amazonaws.com/qxpoje5mn9omflqlks15aolqznbc,,,,,,Количество выборщиков на участке меньше чем получивших биллютени,,
05-141-0055,1060,679,679,79,11,589,10,11,135,470,7,,40,,6,1095,2,414,https://elections2020by.s3.eu-north-1.amazonaws.com/8t0p1n6748fdzzl74j1xqrixxkuf,https://elections2020by.s3.eu-north-1.amazonaws.com/4627_f0cbec1965f90ade0468,,,,,,,,
05-141-0056,1079,711,711,118,32,561,17,12,199,433,8,,40,,,1133,2,422,https://elections2020by.s3.eu-north-1.amazonaws.com/4628_536d2341fea5ce47f48d,https://elections2020by.s3.eu-north-1.amazonaws.com/nc54nj28peah06de4n4bxytr4x5i,,,,,,одна страница,,
05-141-0058,1511,1511,1254,379,157,718,11,8,599,548,10,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4630_62be0c221064271b8f12,,,,,,,Нет второй стороны,,
05-141-0059,847,594,594,145,95,354,7,62,427,137,11,,14,,7,859,0,265,https://elections2020by.s3.eu-north-1.amazonaws.com/4631_43cf124dcfc646171df3,https://elections2020by.s3.eu-north-1.amazonaws.com/4631_50aae525eb4e631ba280,,,,,,одна страница,,
05-141-0060,1557,1226,1226,282,293,651,17,19,679,477,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/w34uhnk1bse0ytyqle2rmt9wtepg,,,,,,,Нет второй стороны,,
05-141-0061,1483,1111,1111,389,75,647,11,21,552,475,17,,30,,5,1533,,422,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0061_8dea55673f4cd8fece4d3c62dea47ab8aff52378,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0061_37e8c16e486f5ffb6c78b27a67c18dddc4b90ba2,,,,,,,,
05-141-0062,2405,1673,1671,270,51,1350,29,20,619,898,19,,58,,28,2426,2,751,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0062_f3930c45aa4feb1f8ed9443f36848bbf4b079cee,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0062_018a13acd4898cf988bc34694666f5522929bc93,,,,,,,,
05-141-0063,2775,2055,2055,298,162,1535,22,27,1488,436,10,,62,,10,2914,,859,https://elections2020by.s3.eu-north-1.amazonaws.com/1yi1ymxw7k3jpac5c2frzmpuw4v4,,,,,,,,,
05-141-0065,1720,1373,1370,531,43,796,64,100,933,187,9,,40,,37,1806,3,430,https://elections2020by.s3.eu-north-1.amazonaws.com/p890dco9i3sqa9degh82itrb22ml,https://elections2020by.s3.eu-north-1.amazonaws.com/0wojta6fsz998xua8hvhi9ceofar,,,,,,,,
05-141-0066,1780,1422,1418,489,23,906,17,98,942,307,11,,27,,16,1869,4,443,https://elections2020by.s3.eu-north-1.amazonaws.com/4638_6129383477cd863cc6ba,https://elections2020by.s3.eu-north-1.amazonaws.com/4638_f3c54a8a4a25b15ca741,,,,,,,,
05-141-0067,1420,1260,1260,461,0,799,8,5,895,328,9,,8,,7,1491,2,229,https://elections2020by.s3.eu-north-1.amazonaws.com/esoep37g7ww8tgbh4lm8tzn4jyr8,https://elections2020by.s3.eu-north-1.amazonaws.com/nxkswico6e57y7yy2dh50c8hhkmh,,,,,,одна страница,,
05-141-0068,2317,1723,1723,695,8,1020,19,7,1214,422,11,,8,,7,1491,2,229,https://elections2020by.s3.eu-north-1.amazonaws.com/o74cxfbs2syk20tbac62p29bhd3a,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0068_b9ec38e1853f1e790217bd6d8b8c32123fbc414a,,,,,,одна страница,,
05-141-0069,1820,1229,1229,364,114,751,19,12,667,449,14,,52,,16,1924,2,693,https://elections2020by.s3.eu-north-1.amazonaws.com/89od8gui9impikvbmdh5rrk1e6v9,,,,,,,,,
05-141-0070,1994,1305,1305,201,14,1090,26,25,322,794,16,,109,,13,2094,2,787,https://elections2020by.s3.eu-north-1.amazonaws.com/ml95onmou7d6v8dxjk5kgsyrm5w9,,,,,,,,,
05-141-0071,1998,1294,1294,337,17,940,64,16,740,424,36,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4643_396cc6200093211b3155,,,,,,,Нет второй стороны,,
05-141-0073,1448,1130,1130,431,23,676,9,10,517,570,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ysuhrxlc7v4krdaah9cpvzn008yl,,,,,,,Нет второй стороны,,
05-141-0074,1329,1169,1166,361,41,764,14,27,758,337,12,,14,,4,1396,3,224,https://elections2020by.s3.eu-north-1.amazonaws.com/nq96cstjuk15ezjm5hc5f9tz7xnl,https://elections2020by.s3.eu-north-1.amazonaws.com/4840ve283ibl44b17ynqk4myn0o2,,,,,,Нет второй страницы.,,
05-141-0075,1566,1255,1255,390,45,820,30,11,742,431,7,,19,,15,1644,,389,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0075_d9ff5f785818ab706d83ac5bc0177665cc356196,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0075_149e331f1cf90aeac9a088b81a807f3e29bb240b,,,,,,,,
05-141-0076,2360,2248,2243,600,53,1590,4,10,1597,614,5,,9,,4,2500,5,252,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0076_a44d9cc5c1bd6c81918755e0a5df524cb0180391,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0076_9f1bd8c79c234660aadba7ca1817f5848b1dc5b8,,,,,,,,
05-141-0077,1626,1262,1262,408,50,804,12,15,618,507,19,,67,,24,1726,,464,https://drive.google.com/file/d/1nsDOq0GCN2J8ppKqPTalpE71nFSpZINT/view,https://drive.google.com/file/d/1CKE5x5APi-i2dQFQMR7KNhbY6T3rmn5f/view,,,,,,,,
05-141-0078,2248,1734,1733,551,11,1171,24,29,711,834,34,,88,,9,2429,1,591,https://elections2020by.s3.eu-north-1.amazonaws.com/otvtyw2rrtb3ghtnsk8p1kzwp9ly,,,,,,,Очень плохо видно,,
05-141-0080,1334,862,862,115,103,644,15,17,280,480,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/4652_18e91825d9076fa8c284,,,,,,,Нет второй стороны,,
05-141-0081,2018,1396,1396,180,122,1094,28,21,432,680,20,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/ddejb97vi9fr678oyxbdws2pm3am,,,,,,,,,
05-141-0082,988,849,849,269,62,518,12,29,521,242,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/89y456g5ai5uwtafp9izqhpx2mki,,,,,,,Нет второй стороны,,
05-141-0083,1011,814,814,533,7,274,6,4,606,161,6,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/q8jnck7fbw2jcd4cuxala0ehueh3,,,,,,,одна стр,,
05-141-0084,1988,1579,1579,516,18,1045,19,15,1065,405,11,,51,,13,2093,0,514,https://elections2020by.s3.eu-north-1.amazonaws.com/report_05-141-0084_c7aaa6b3d9e30b6a3b1c9a865c511e8c78f1be02,https://drive.google.com/file/d/1wmwzNZPd8-bBJQifnd0Ceq6q7ouTK8HM/view,,,,,,Нет второй стороны,,
05-141-0085,1681,1357,1354,453,54,847,8,15,926,351,3,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/h93700tdmflcml9mr04pvbi1wl0i,,,,,,,Нет второй стороны,,
05-141-0086,591,513,513,165,83,265,13,13,279,178,5,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/51yer5w3xqp5ot6jbecavsbyp2t4,,,,,,,Нет второй стороны,,
05-141-0087,1170,1170,1190,352,66,772,11,9,998,154,9,,8,,0,1229,1,39,https://elections2020by.s3.eu-north-1.amazonaws.com/ijscd2686k83ancr3m8mapno0xvs,,,,,,,одна стр,,
