Код комиссии,"1. Агульная колькасць выбаршчыкаў на ўчастку (вызначаецца па спісу грамадзян, якія маюць права ўдзельнічаць у выбарах)","2. Колькасць выбаршчыкаў, якія атрымалі бюлетэні (вызначаецца шляхам падліку подпісаў выбаршчыкаў у спісе грамадзян, якія маюць права ўдзельнічаць у выбарах","3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні (вызначаецца шляхам падліку бюлетэняў, якія знаходзіліся ў скрынках для галасавання)","3.1. Колькасць выбаршчыкаў, якія прынялі ўдзел у датэрміновым галасаванні","3.2. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні па месцы знаходжання","3.3. Колькасць выбаршчыкаў, якія прынялі ўдзел у галасаванні ў дзень выбараў у памяшканні ўчастка для галасавання",Дмитриев Андрей Владимирович,Канопацкая Анна Анатольевна,Лукашенко Александр Григорьевич,Тихановская Светлана Георгиевна,Черечень Сергей Владимирович,"5. Колькасць галасоў, пададзеных за кандыдата (кандыдатаў), які (якiя) выбыў (выбылі) у перыяд датэрміновага галасавання","6. Колькасць галасоў, пададзеных супраць усiх кандыдатаў","7. Колькасць галасоў, пададзеных супраць кандыдата, калi галасаванне праводзілася па адной кандыдатуры","8. Колькасць бюлетэняў, прызнаных несапраўднымі","9. Колькасць бюлетэняў, атрыманых участковай выбарчай камісіяй",10. Колькасць сапсаваных бюлетэняў,11. Колькасць нявыкарыстаных (пагашаных) бюлетэняў,Вложение 1,Вложение 2,Вложение 3,Вложение 4,Вложение 5,Вложение 6,Вложение 7,Комментарий,,
01-011-0015,2543,2046,2044,425,58,1561,47,27,646,1113,42,,158,,11,2588,,542,https://elections2020by.s3.eu-north-1.amazonaws.com/wn2l1h3ewnt9lf0m07xygrgj6xud,,,,,,,,,
01-011-0017,1445,1223,1223,339,30,854,18,10,856,136,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/9r0vtx2mfmoahic3iefe7r48ywzs,,,,,,,,,
01-011-0022,2815,2701,2701,1012,22,1667,52,31,1420,1203,43,,152,,,2836,16,19,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0022_2d4db096a868df582c72348d8106ad85f5b89a65,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0022_4ad9454298462cbb7462bb6a325fc6364e966536,,,,,,,,
01-011-0028,2228,2015,2018,952,12,1054,39,23,942,819,31,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0028_83c186c579fb2ed89f60ede70967edf98d48ed7b,,,,,,,,,
01-011-0030,2126,1881,1880,662,67,1151,29,22,1412,169,29,,211,,8,2199,,318,https://elections2020by.s3.eu-north-1.amazonaws.com/984_428db58f6553a7661f68,https://elections2020by.s3.eu-north-1.amazonaws.com/984_7ba22aedb4d3bdbb372e,,,,,,нет подписей,,
01-011-0032,1920,1701,1701,548,31,1122,40,12,935,582,43,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/mqh97sgdwyevwvleikgin0t1mdii,,,,,,,,,
01-011-0035,2374,2261,2256,825,56,1375,50,49,1692,316,65,,74,,10,2283,0,22,https://elections2020by.s3.eu-north-1.amazonaws.com/1aw4zcu6qcb4w5irqh7qou1ckp2d,,,,,,,,,
01-011-0036,1445,1329,1329,475,0,854,29,15,831,376,24,,58,,5,1555,0,220,https://elections2020by.s3.eu-north-1.amazonaws.com/uraeqy2ei4xsxh22kz5d5h2mxsoa,https://elections2020by.s3.eu-north-1.amazonaws.com/coycxvustyb0znugpewekdtz0det,,,,,,,,
01-011-0037,1509,1280,1280,403,41,836,29,23,524,543,24,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0037_d056661ed20847a07160c7c7d4e8028205724e27,https://elections2020by.s3.eu-north-1.amazonaws.com/ey4sul4yrtjc2kdr9y2alv9k7cc2,,,,,,,,
01-011-0038,1211,1042,1042,262,39,741,21,17,380,510,18,,88,,8,1176,1,133,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0038_d315bdc2ba26633b4a5b9c937a0a5293b53650a2,https://elections2020by.s3.eu-north-1.amazonaws.com/wg9ertb2dq85lokq3bia5nljj06g,,,,,,ранее нами была заполнена вторая страница данного протокола.,,
01-011-0041,1500,1487,1487,485,32,970,28,17,793,529,28,,79,,13,1528,0,41,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0041_8ed3064eafb3dd2b35e8b78fc716ca81ba91131d,https://elections2020by.s3.eu-north-1.amazonaws.com/995_ba2947a6bf1c4ea2bf1b,,,,,,,,
01-011-0042,1780,1731,1731,596,17,1118,38,20,959,612,30,,66,,6,1786,3,52,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0042_3bc33f328e13db0c80508da05039a1fdced06752,https://elections2020by.s3.eu-north-1.amazonaws.com/996_94e6052a297004c404db,,,,,,,,
01-011-0046,1811,1662,1662,664,31,967,24,17,1247,231,14,,120,,9,1836,2,172,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0046_68af713ac0140659bfb83f2c57d6c3a9643d2acb,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0046_86bffec9beebbecacda5e2bb70b1ef437b0bb5de,,,,,,"Вместо подписей слово ""подпись""",,
01-011-0047,2449,2145,2145,835,58,1252,48,33,1136,783,34,,92,,19,2516,1,369,https://elections2020by.s3.eu-north-1.amazonaws.com/fgquq6kb1azhkwrgn60ka76mbk9x,,,,,,,Нестандартный протокол,,
01-011-0048,2194,1987,1987,510,4,1473,37,25,1329,541,25,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/yto48hbdky46gxa2wfp34hg33j4a,,,,,,,,,
01-011-0049,1976,1936,1919,520,11,1405,28,19,661,1055,35,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/1003_73fd51106f03cd2ac447,,,,,,,,,
01-011-0058,2008,1646,1628,783,0,845,17,32,1024,920,15,,270,,7,2105,3,456,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0058_1b5778b7c6d099760e7b650f3427cbcc6e0cb45f,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0058_2898d6b85656ab55fa6021465d967b80f8071c37,,,,,,,,
01-011-0060,1485,1413,1413,486,11,916,25,31,971,214,36,,122,,14,1486,0,73,https://elections2020by.s3.eu-north-1.amazonaws.com/1k4bn8t4nrwr4l5yvyl0tjkjiqki,,,,,,,,,
01-011-0061,2310,1681,1681,514,13,1154,27,16,574,869,35,,144,,16,2251,0,570,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0061_5c1b5184f87a3e2311901c710ec06a6d280bef87,https://elections2020by.s3.eu-north-1.amazonaws.com/1015_d96fa589e1608fa2da3b,,,,,,,,
01-011-0062,2118,1895,1895,646,13,1236,30,12,1192,505,23,,114,,19,2126,3,228,https://elections2020by.s3.eu-north-1.amazonaws.com/g9bsxoeaeuih7ojytrgbenrtoh4j,,,,,,,Нет подписей.,,
01-011-0063,2977,2750,2735,965,19,1751,47,24,1387,1028,51,,181,,17,2890,1,139,https://elections2020by.s3.eu-north-1.amazonaws.com/zpbhxx2lq5vsiqw64963c9t77e63,https://elections2020by.s3.eu-north-1.amazonaws.com/omqnysuf9j79fput8o3rhdpz10ew,,,,,,,,
01-011-0065,1511,1290,1256,503,21,732,21,24,939,162,12,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/sg41z2u79usyp9moujg1v5rda8a8,,,,,,,,,
01-011-0066,2525,2107,2104,774,15,1315,41,22,1432,498,41,,57,,13,2657,4,546,https://elections2020by.s3.eu-north-1.amazonaws.com/dc3gcezy6mrla8zqxno6662il66f,https://elections2020by.s3.eu-north-1.amazonaws.com/s9ytq12lzgmtzoa6rxl3clahovdv,,,,,,,,
01-011-0068,1305,1219,1219,399,8,812,20,11,835,252,,,69,,6,1244,3,22,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0068_37cdab53c60af4d695557557aa9c0338d01fb195,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0068_74391536a1dcbb83ed8e9de12e5770aee37058aa,,,,,,,,
01-011-0070,1821,1601,1596,786,23,787,32,17,1251,86,38,,156,,16,1850,4,245,https://elections2020by.s3.eu-north-1.amazonaws.com/qj4vubisw293xtd60ejfagmbaaad,,,,,,,,,
01-011-0072,2220,2055,2055,526,5,1524,25,17,1034,562,27,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/dokibkl0wob8zcvaos0zomyd7xw8,,,,,,,,,
01-011-0074,2181,2059,2059,661,36,1362,24,21,1545,267,32,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/s0xbb5ull907ycm6o8qpx2e74abb,,,,,,,,,
01-011-0075,2456,2413,2409,887,16,1506,38,19,1595,473,40,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/bcbpkv7f51i2hse44u7du2zh1e7o,,,,,,,одна страница,,
01-011-0076,2403,2343,2291,828,2,1461,34,21,1422,714,36,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/w8dexz6blfyomoivta7vh2eqnfww,,,,,,,,,
01-011-0077,2325,2168,2168,798,0,1370,33,17,1626,332,40,,102,,18,2329,0,161,https://elections2020by.s3.eu-north-1.amazonaws.com/oz74exyce71z0umf2yj4312ecyvp,https://elections2020by.s3.eu-north-1.amazonaws.com/733446c0msjjit0on63e5drfspsk,,,,,,,,
01-011-0078,2732,2482,2482,761,12,1705,48,20,1568,751,22,,51,,22,2751,4,269,https://elections2020by.s3.eu-north-1.amazonaws.com/ezfh6t855ygq8xg68bsdd0i1pmil,,,,,,,,,
01-011-0079,2420,2152,2152,756,15,1380,49,45,1342,571,25,,107,,11,2420,1,268,https://elections2020by.s3.eu-north-1.amazonaws.com/4yg8ikry72mvciyia5el016vo3r6,,,,,,,,,
01-011-0080,2715,2440,2437,820,7,1610,25,21,1621,672,29,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/f9i6o2t3e031ubzkjydv4pqjbezq,,,,,,,,,
01-011-0081,2999,2999,2998,927,5,2066,132,81,2006,639,48,,74,,18,3116,2,118,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0081_5dcd46b1bf5f5c263b916f77a9c5aad5f29c93b2,,,,,,,,,
01-011-0087,2398,1942,1939,303,5,1631,43,22,499,1155,34,,164,,22,2427,1,484,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0087_18e5383748d5626fc1f8947c89672a6f3d3d39f5,https://elections2020by.s3.eu-north-1.amazonaws.com/1041_403efdbbe0418b6984fe,,,,,,,,
01-011-0089,2150,1991,1991,708,38,1245,39,26,1494,149,62,,201,,20,2157,5,161,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0089_30c3fed418381a4a5c54e43fde7757c48974a9da,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-011-0089_11a066ee0f682e5819217da2579dc42511929831,,,,,,,,
01-047-0006,1947,1791,1791,720,27,1044,59,81,1416,108,33,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/h9rafsrceveun4exktmv4ybp83jx,,,,,,,,,
01-047-0008,1480,1230,1230,615,7,608,25,23,938,45,26,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0008_b1a93498f539f5c46707b26546aa6297c62918a2,,,,,,,,,
01-047-0009,1490,1357,1357,656,13,688,16,26,1093,76,16,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0009_91e84890acaaae4e1775107ffafe5870ddd175e4,,,,,,,,,
01-047-0012,1997,1691,1691,764,17,910,19,36,1340,69,21,,179,,27,2000,2,307,https://elections2020by.s3.eu-north-1.amazonaws.com/853_b6e463f1ba806474eeeb,,,,,,,,,
01-047-0017,2112,1774,1773,674,38,1061,18,32,1400,70,17,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/l4fg3l1qlc9reoa5pjrq284nvof7,,,,,,,одна страница,,
01-047-0019,1922,1615,1615,741,30,844,28,21,1275,65,31,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/bvup9s7i7fay7pfffvfjdooz8ndx,,,,,,,,,
01-047-0021,2990,2871,2870,1255,124,1491,42,26,2239,143,51,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0021_bfd2767e55f961ba691c52360c50d415b221963f,,,,,,,,,
01-047-0022,1620,1555,1555,630,12,913,31,47,1260,74,31,,97,,15,1700,,145,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0022_a959bf6f64c18d2216ab371ed2a06dfd2cf0fc0b,,,,,,,,,
01-047-0023,1625,1542,1542,639,13,890,31,46,1248,67,31,,,,15,1700,0,158,https://elections2020by.s3.eu-north-1.amazonaws.com/gukfalbh5t2wx1hvlonntjv4u5o3,,,,,,,,,
01-047-0028,2990,2871,2870,1255,124,1491,42,26,2239,143,51,,340,,29,3000,4,125,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0021_bfd2767e55f961ba691c52360c50d415b221963f,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0021_8bc2e912bc9e4227786e57cff6c14d4a5c0fe30a,,,,,,,,
01-047-0030,2598,2301,2300,896,92,1312,58,16,1633,414,29,,123,,27,2700,1,399,https://elections2020by.s3.eu-north-1.amazonaws.com/0mkpa90z799sllgp35aj0k7574vx,,,,,,,,,
01-047-0033,1712,1489,1489,674,62,753,14,30,1176,164,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0033_3a2b5b36c5e19404b4baafdf171bd92d331aa904,,,,,,,,,
01-047-0034,2592,1970,1970,783,25,1162,19,39,1556,276,21,,43,,16,,,730,https://elections2020by.s3.eu-north-1.amazonaws.com/875_fbe9120741603b3ac0d4,https://elections2020by.s3.eu-north-1.amazonaws.com/875_6294a9f946fd5ba79b96,,,,,,,,
01-047-0039,1491,1283,1280,612,21,647,17,8,1021,65,13,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/121yrsy1o7yx2aol7j3ijrfvld35,,,,,,,,,
01-047-0040,1901,1691,1691,753,40,898,16,34,1283,69,17,,250,,22,2000,1,308,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0040_00535b1d38746acf6f7f2b7d5f059dd7ef4b890a,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0040_abb705321765df7dc4b9cda32f70afdf56f2d4cd,,,,,,нет подписей.,,
01-047-0042,1560,1497,1497,629,63,805,76,81,877,153,89,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/wf43wdujgi54m39ymhqi1gmg277v,,,,,,,одна страница,,
01-047-0043,2720,2357,2357,1048,23,1286,23,50,1865,177,20,,202,,20,2800,1,442,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0043_bed57ba6a246e58342261f59bf2bcba3deaa4ae0,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0043_d324b0700f8049b30bcf82203cc4b8d5bcbf23a5,,,,,,,,
01-047-0045,1126,1001,1001,477,17,507,10,17,790,68,16,,99,,1,1200,0,199,https://elections2020by.s3.eu-north-1.amazonaws.com/6446f08bi3ncgesrev84d86v9u2d,,,,,,,"Нет подписей, кроме главы комиссии",,
01-047-0046,1670,1436,1436,769,40,627,14,26,1136,59,14,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/e769cnonxxqe3dghrjhoqg7k8z7f,,,,,,,Нет второй страницы.,,
01-047-0047,1986,1820,1820,806,30,984,18,36,1438,75,18,,180,,55,2000,,180,https://elections2020by.s3.eu-north-1.amazonaws.com/888_4b5e2d9a18bf9f552e2f,https://elections2020by.s3.eu-north-1.amazonaws.com/664nn67iq07nfgrpbsq975xby01z,,,,,,,,
01-047-0048,1442,1229,1227,468,26,733,9,5,950,110,9,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/8vbsuo0585or5r6y6mp5zonwiso3,,,,,,,,,
01-047-0054,2880,2561,2561,1123,6,1432,26,52,2015,282,27,,149,,10,3000,0,439,https://elections2020by.s3.eu-north-1.amazonaws.com/eqodvsdidvidzzj17a0md18olkrw,https://elections2020by.s3.eu-north-1.amazonaws.com/6xz0g4via7nre7v1ps659dj7ri3z,,,,,,,,
01-047-0056,2755,2464,2452,1156,3,1293,25,49,1962,98,23,,,,,,,,https://elections2020by.s3.eu-north-1.amazonaws.com/report_01-047-0056_e5626929179ffb4184b750b5be3e11f190117f99,,,,,,,,,
